"","ga_beta","ga_p","ga_se","label","ga_p_adj","hemisphere"
"smri_vol_cdk_banksstslh.t2_centiles",0.0393085162269011,0.00106165541539898,0.0120026218462456,"bankssts",0.00476820268934469,"L"
"smri_vol_cdk_banksstsrh.t2_centiles",0.0555511020024452,2.97329144360979e-06,0.0118790872598964,"bankssts",4.24755920515685e-05,"R"
"smri_vol_cdk_cdacatelh.t2_centiles",6.01571844496295e-05,0.995975548751851,0.0119262500860544,"caudalanteriorcingulate",0.995975548751851,"L"
"smri_vol_cdk_cdacaterh.t2_centiles",-0.00771693549458635,0.516495135258192,0.0118943570549073,"caudalanteriorcingulate",0.637648315133571,"R"
"smri_vol_cdk_cdmdfrlh.t2_centiles",0.0237381817866843,0.0460518918585526,0.0118972653022941,"caudalmiddlefrontal",0.0979827486352184,"L"
"smri_vol_cdk_cdmdfrrh.t2_centiles",0.0257852295183645,0.0301458976015317,0.0118902705147208,"caudalmiddlefrontal",0.0772971733372608,"R"
"smri_vol_cdk_cuneuslh.t2_centiles",-0.00525613903747019,0.658823987330291,0.0119036802484382,"cuneus",0.732026652589212,"L"
"smri_vol_cdk_cuneusrh.t2_centiles",-0.0182389327358891,0.126578119524523,0.0119371502180768,"cuneus",0.197778311757067,"R"
"smri_vol_cdk_ehinallh.t2_centiles",-0.018327774984884,0.121969699826066,0.0118492807811947,"entorhinal",0.193602698136612,"L"
"smri_vol_cdk_ehinalrh.t2_centiles",-0.0314161111022922,0.00850029211817245,0.0119350746841499,"entorhinal",0.0265634128692889,"R"
"smri_vol_cdk_frpolelh.t2_centiles",-0.00569294468747146,0.633124841093978,0.0119260518498623,"frontalpole",0.719460046697703,"L"
"smri_vol_cdk_frpolerh.t2_centiles",-0.00774704972342159,0.514019422868276,0.0118706115299007,"frontalpole",0.637648315133571,"R"
"smri_vol_cdk_fusiformlh.t2_centiles",0.0236550521350527,0.0455437817354492,0.0118278477451888,"fusiform",0.0979827486352184,"L"
"smri_vol_cdk_fusiformrh.t2_centiles",0.0289761086279287,0.0143320660533334,0.011829742923423,"fusiform",0.0421531354509806,"R"
"smri_vol_cdk_ifpllh.t2_centiles",0.0652595786243452,5.64799220451058e-08,0.0120064515610202,"inferiorparietal",1.88266406817019e-06,"L"
"smri_vol_cdk_ifplrh.t2_centiles",0.0581840796086325,1.04404301763914e-06,0.0119049574903749,"inferiorparietal",2.08808603527828e-05,"R"
"smri_vol_cdk_iftmlh.t2_centiles",0.0160951881026202,0.175946111220743,0.0118917382533232,"inferiortemporal",0.262606136150363,"L"
"smri_vol_cdk_iftmrh.t2_centiles",-0.000296149526997551,0.980160910713254,0.0119088401869668,"inferiortemporal",0.990061525972984,"R"
"smri_vol_cdk_ihcatelh.t2_centiles",0.020570259041144,0.0864955277150443,0.0119984048235555,"isthmuscingulate",0.154456299491151,"L"
"smri_vol_cdk_ihcaterh.t2_centiles",0.0477299906951769,5.5721358763497e-05,0.0118358648664349,"isthmuscingulate",0.00039800970545355,"R"
"smri_vol_cdk_insulalh.t2_centiles",0.0601121361454397,4.93274418965569e-07,0.0119423590537798,"insula",1.23318604741392e-05,"L"
"smri_vol_cdk_insularh.t2_centiles",0.0539718603799736,6.62875370912216e-06,0.0119708153687494,"insula",7.64719346469683e-05,"R"
"smri_vol_cdk_linguallh.t2_centiles",0.0241626871089903,0.0409718165456676,0.0118202114123588,"lingual",0.0933193167049089,"L"
"smri_vol_cdk_lingualrh.t2_centiles",0.00963760346024744,0.411534549076995,0.0117353703683838,"lingual",0.525337742667753,"R"
"smri_vol_cdk_lobfrlh.t2_centiles",0.0242895151934365,0.041993692517209,0.0119420605388328,"lateralorbitofrontal",0.0933193167049089,"L"
"smri_vol_cdk_lobfrrh.t2_centiles",0.039016140288068,0.00109668661854928,0.0119468932744723,"lateralorbitofrontal",0.00476820268934469,"R"
"smri_vol_cdk_locclh.t2_centiles",-0.0183864174052762,0.121031834518341,0.0118573002743693,"lateraloccipital",0.193602698136612,"L"
"smri_vol_cdk_loccrh.t2_centiles",-0.0174862087334943,0.14125739043914,0.0118849746661272,"lateraloccipital",0.214026349150212,"R"
"smri_vol_cdk_mdtmlh.t2_centiles",0.0711669119574912,2.43399040678916e-09,0.0119138828135337,"middletemporal",1.21699520339458e-07,"L"
"smri_vol_cdk_mdtmrh.t2_centiles",0.0750111020622919,3.55537154228078e-10,0.0119421118544623,"middletemporal",3.55537154228078e-08,"R"
"smri_vol_cdk_mobfrlh.t2_centiles",0.0010734639237294,0.927954569064724,0.0118717397499546,"medialorbitofrontal",0.950149463350761,"L"
"smri_vol_cdk_mobfrrh.t2_centiles",0.00702002202717782,0.553703637901388,0.0118531928478499,"medialorbitofrontal",0.675248338904132,"R"
"smri_vol_cdk_paracnlh.t2_centiles",0.00529849149724863,0.653931764354397,0.0118184002678623,"paracentral",0.732026652589212,"L"
"smri_vol_cdk_paracnrh.t2_centiles",0.0228613182752676,0.0542127141655992,0.0118732406005851,"paracentral",0.112943154511665,"R"
"smri_vol_cdk_parahpallh.t2_centiles",-0.0295781308938429,0.0127903569682236,0.0118779156886788,"parahippocampal",0.0387586574794655,"L"
"smri_vol_cdk_parahpalrh.t2_centiles",0.00122407301641877,0.918033833867363,0.0118940957903971,"parahippocampal",0.950149463350761,"R"
"smri_vol_cdk_parsobislh.t2_centiles",0.0288454602921391,0.0152693730326295,0.0118876398277599,"parsorbitalis",0.0429303423638478,"L"
"smri_vol_cdk_parsobisrh.t2_centiles",0.0284761637463439,0.0167820642046603,0.0119047101302628,"parsorbitalis",0.0453569302828658,"R"
"smri_vol_cdk_parsopclh.t2_centiles",0.0210965025435618,0.075579604234794,0.0118707175598651,"parsopercularis",0.151159208469588,"L"
"smri_vol_cdk_parsopcrh.t2_centiles",0.0142200451189133,0.232106285287258,0.0118991029812636,"parsopercularis",0.32691026096797,"R"
"smri_vol_cdk_parstgrislh.t2_centiles",0.0494638162641964,3.08500863297609e-05,0.0118624868362448,"parstriangularis",0.000280455330270554,"L"
