"phenotype","signed_partial_r2","full_p_adj","label","hemisphere"
"aparc_SurfArea_rh_parstriangularis",0.000651083196178126,0.164085283161961,"parstriangularis","R"
"aparc_SurfArea_rh_pericalcarine",-0.00288666809389215,0.0589454046683734,"pericalcarine","R"
"aparc_SurfArea_rh_postcentral",0.00265224045556633,0.00777805743479015,"postcentral","R"
"aparc_SurfArea_rh_posteriorcingulate",-0.000246581480133456,0.501685546380261,"posteriorcingulate","R"
"aparc_SurfArea_rh_precentral",-0.00188132818864939,0.199630127380662,"precentral","R"
"aparc_SurfArea_rh_precuneus",-0.000719927239063334,0.460570988129389,"precuneus","R"
"aparc_SurfArea_rh_rostralanteriorcingulate",0.000734661180582408,0.164085283161961,"rostralanteriorcingulate","R"
"aparc_SurfArea_rh_rostralmiddlefrontal",-0.00270922897066628,0.00341694837617415,"rostralmiddlefrontal","R"
"aparc_SurfArea_rh_superiorfrontal",-0.00322070753369719,0.0278640917681801,"superiorfrontal","R"
"aparc_SurfArea_rh_superiorparietal",0.000956690753838418,0.352784840802555,"superiorparietal","R"
"aparc_SurfArea_rh_superiortemporal",0.00129559901842347,0.538541791066724,"superiortemporal","R"
"aparc_SurfArea_rh_supramarginal",0.00307972047068383,0.00175445945430476,"supramarginal","R"
"aparc_SurfArea_rh_temporalpole",-0.000535166029817846,0.205574250445672,"temporalpole","R"
"aparc_SurfArea_rh_transversetemporal",0.000246456133048079,0.457809013026318,"transversetemporal","R"
