"phenotype","signed_partial_r2","full_p_adj","label","hemisphere"
"aparc_GrayVol_rh_parstriangularis",0.000154149214832922,0.605911870460502,"parstriangularis","R"
"aparc_GrayVol_rh_pericalcarine",-0.00146019794381291,0.172775047971454,"pericalcarine","R"
"aparc_GrayVol_rh_postcentral",0.00144342942289066,0.0355996421886612,"postcentral","R"
"aparc_GrayVol_rh_posteriorcingulate",0.000247415064305367,0.641280420390482,"posteriorcingulate","R"
"aparc_GrayVol_rh_precentral",-0.000485278524253951,0.647569818194711,"precentral","R"
"aparc_GrayVol_rh_precuneus",0.00094623823494977,0.546067694202195,"precuneus","R"
"aparc_GrayVol_rh_rostralanteriorcingulate",0.00255356663331563,0.00421557297925677,"rostralanteriorcingulate","R"
"aparc_GrayVol_rh_rostralmiddlefrontal",-0.00154923771067017,0.0262233050524045,"rostralmiddlefrontal","R"
"aparc_GrayVol_rh_superiorfrontal",-0.000818812679908798,0.206676019787837,"superiorfrontal","R"
"aparc_GrayVol_rh_superiorparietal",-7.86960389540514e-05,0.881811310756841,"superiorparietal","R"
"aparc_GrayVol_rh_superiortemporal",-3.83724292525311e-05,0.830112300512879,"superiortemporal","R"
"aparc_GrayVol_rh_supramarginal",0.00439162798691428,0.000100569245586213,"supramarginal","R"
"aparc_GrayVol_rh_temporalpole",-0.000273035790271492,0.830112300512879,"temporalpole","R"
"aparc_GrayVol_rh_transversetemporal",0.000432050728295108,0.295147925708544,"transversetemporal","R"
