"phenotype","signed_partial_r2","full_p_adj","label","hemisphere"
"aparc_ThickAvg_rh_parsorbitalis",0.00601451481537219,0.0370284552373961,"parsorbitalis","R"
"aparc_ThickAvg_rh_parstriangularis",-9.80202734613966e-05,0.76396018834288,"parstriangularis","R"
"aparc_ThickAvg_rh_pericalcarine",-0.0136263600827843,0,"pericalcarine","R"
"aparc_ThickAvg_rh_postcentral",0.000122053841659309,0.818608033129906,"postcentral","R"
"aparc_ThickAvg_rh_posteriorcingulate",0.00908159039127687,4.39684682997932e-05,"posteriorcingulate","R"
"aparc_ThickAvg_rh_precentral",0.00183214335778348,0.269348079457861,"precentral","R"
"aparc_ThickAvg_rh_precuneus",0.0013238464533728,0.581250253481521,"precuneus","R"
"aparc_ThickAvg_rh_rostralanteriorcingulate",-0.000825212260888497,0.181783805993924,"rostralanteriorcingulate","R"
"aparc_ThickAvg_rh_rostralmiddlefrontal",0.000343732690300969,0.76396018834288,"rostralmiddlefrontal","R"
"aparc_ThickAvg_rh_superiorfrontal",0.00195231325225986,0.0962003704115615,"superiorfrontal","R"
"aparc_ThickAvg_rh_superiorparietal",-0.000790312223152623,0.168013185021463,"superiorparietal","R"
"aparc_ThickAvg_rh_superiortemporal",-0.00543051659561267,0.00159789978646766,"superiortemporal","R"
"aparc_ThickAvg_rh_supramarginal",0.000494370046087989,0.662749692517174,"supramarginal","R"
"aparc_ThickAvg_rh_temporalpole",-0.00118753679474282,0.0971909713695261,"temporalpole","R"
"aparc_ThickAvg_rh_transversetemporal",0.00175359289206634,0.0971909713695261,"transversetemporal","R"
