"phenotype","r2_full_vs_none","full_p_adj","label","hemisphere"
"aparc_GrayVol_rh_pericalcarine",0.00230187945763771,0.388393742971215,"pericalcarine","R"
"aparc_GrayVol_rh_postcentral",1.64329072904756e-07,0.999002910630951,"postcentral","R"
"aparc_GrayVol_rh_posteriorcingulate",0.0316724696079222,0.0293956138550287,"posteriorcingulate","R"
"aparc_GrayVol_rh_precentral",0.0113935197248358,0.384694890611478,"precentral","R"
"aparc_GrayVol_rh_precuneus",0.0138808149794416,0.0795732602665516,"precuneus","R"
"aparc_GrayVol_rh_rostralanteriorcingulate",0.000315870696596332,0.747138726537132,"rostralanteriorcingulate","R"
"aparc_GrayVol_rh_rostralmiddlefrontal",0.00357725135331965,0.299619175783313,"rostralmiddlefrontal","R"
"aparc_GrayVol_rh_superiorfrontal",0.00900029673299518,0.394034410736211,"superiorfrontal","R"
"aparc_GrayVol_rh_superiorparietal",0.02825963682786,0.00788118991589399,"superiorparietal","R"
"aparc_GrayVol_rh_superiortemporal",0.00582584087623972,0.712163717210871,"superiortemporal","R"
"aparc_GrayVol_rh_supramarginal",0.0121879901951798,0.170729488590843,"supramarginal","R"
"aparc_GrayVol_rh_temporalpole",0.000975210398636683,0.7927346953554,"temporalpole","R"
"aparc_GrayVol_rh_transversetemporal",0.0113029008808391,0.394034410736211,"transversetemporal","R"
