"label","hemi","map","value","rank","mapname"
"lateraloccipital","left","Evolution.Expansion",-0.773041546344757,10,"Evolutionary Expansion"
"lateralorbitofrontal","left","AllometricScaling.PNC20mm",0.885239005088806,16,"Allometric Scaling"
"lateralorbitofrontal","left","BigBrain.Histology",-0.100812450051308,22,"Externopyramidization"
"lateralorbitofrontal","left","CBF",66.8635406494141,53,"Cerebral Blood Flow"
"lateralorbitofrontal","left","Cortical.Thickness",2.84778571128845,48,"Cortical Thickness"
"lateralorbitofrontal","left","PC1.AHBA",-0.722716748714447,17,"Gene Expression"
"lateralorbitofrontal","left","PC1.Neurosynth",0.00128993717953563,60,"Neurosynth"
"lateralorbitofrontal","left","PET.AG",0.256281226873398,53,"Aerobic Glycosis"
"lateralorbitofrontal","left","T1T2ratio",1.23160207271576,22,"Anatomical Hierarchy"
"lateralorbitofrontal","left","SensorimotorAssociation_Axis",46117.546875,54,"Sensorimotor-Association Axis"
"lateralorbitofrontal","left","G1.fMRI_1",3.54081010818481,53,"Functional Hierarchy"
"lateralorbitofrontal","left","Evolution.Expansion",0.326287239789963,29,"Evolutionary Expansion"
"middletemporal","left","AllometricScaling.PNC20mm",1.13264882564545,60,"Allometric Scaling"
"middletemporal","left","BigBrain.Histology",-0.13435797393322,18,"Externopyramidization"
"middletemporal","left","CBF",63.3449592590332,42,"Cerebral Blood Flow"
"middletemporal","left","Cortical.Thickness",2.91451573371887,56,"Cortical Thickness"
"middletemporal","left","PC1.AHBA",-0.721767365932465,18,"Gene Expression"
"middletemporal","left","PC1.Neurosynth",0.00115455582272261,58,"Neurosynth"
"middletemporal","left","PET.AG",-0.117455817759037,24,"Aerobic Glycosis"
"middletemporal","left","T1T2ratio",1.23886895179749,24,"Anatomical Hierarchy"
"middletemporal","left","SensorimotorAssociation_Axis",50060.8359375,62,"Sensorimotor-Association Axis"
"middletemporal","left","G1.fMRI_1",4.51844453811646,59,"Functional Hierarchy"
"middletemporal","left","Evolution.Expansion",1.44065010547638,63,"Evolutionary Expansion"
"parsopercularis","left","AllometricScaling.PNC20mm",0.867986857891083,15,"Allometric Scaling"
"parsopercularis","left","BigBrain.Histology",0.0650821253657341,45,"Externopyramidization"
"parsopercularis","left","CBF",70.0371322631836,60,"Cerebral Blood Flow"
"parsopercularis","left","Cortical.Thickness",2.78931522369385,44,"Cortical Thickness"
"parsopercularis","left","PC1.AHBA",-0.265882521867752,28,"Gene Expression"
"parsopercularis","left","PC1.Neurosynth",-0.0016497221076861,20,"Neurosynth"
"parsopercularis","left","PET.AG",0.296873152256012,55,"Aerobic Glycosis"
"parsopercularis","left","T1T2ratio",1.269770860672,28,"Anatomical Hierarchy"
"parsopercularis","left","SensorimotorAssociation_Axis",38659.62109375,43,"Sensorimotor-Association Axis"
"parsopercularis","left","G1.fMRI_1",1.84377598762512,42,"Functional Hierarchy"
"parsopercularis","left","Evolution.Expansion",0.876416802406311,47,"Evolutionary Expansion"
"parsorbitalis","left","AllometricScaling.PNC20mm",1.01341819763184,42,"Allometric Scaling"
"parsorbitalis","left","BigBrain.Histology",-0.057311162352562,27,"Externopyramidization"
"parsorbitalis","left","CBF",73.5373916625977,66,"Cerebral Blood Flow"
"parsorbitalis","left","Cortical.Thickness",2.70833039283752,35,"Cortical Thickness"
"parsorbitalis","left","PC1.AHBA",-0.2499680519104,31,"Gene Expression"
"parsorbitalis","left","PC1.Neurosynth",0.00109190633520484,56,"Neurosynth"
"parsorbitalis","left","PET.AG",0.401073843240738,61,"Aerobic Glycosis"
"parsorbitalis","left","T1T2ratio",1.20921814441681,13,"Anatomical Hierarchy"
"parsorbitalis","left","SensorimotorAssociation_Axis",55111.5234375,67,"Sensorimotor-Association Axis"
"parsorbitalis","left","G1.fMRI_1",5.77825689315796,65,"Functional Hierarchy"
"parsorbitalis","left","Evolution.Expansion",1.49898946285248,65,"Evolutionary Expansion"
