"","bw_beta","bw_p","bw_se","label","bw_p_adj","hemisphere"
"smri_vol_cdk_banksstslh.t2_centiles",0.0331794192870729,0.000133900493764955,0.00868271658955609,"bankssts",0.000535601975059821,"L"
"smri_vol_cdk_banksstsrh.t2_centiles",0.0323577498280752,9.83278131476671e-05,0.00830334868746816,"bankssts",0.000409699221448613,"R"
"smri_vol_cdk_cdacatelh.t2_centiles",-0.00567356744920422,0.518075048443629,0.00877787639222167,"caudalanteriorcingulate",0.582106796004077,"L"
"smri_vol_cdk_cdacaterh.t2_centiles",-0.00856811232461129,0.332514856801412,0.00884104866855616,"caudalanteriorcingulate",0.415643571001765,"R"
"smri_vol_cdk_cdmdfrlh.t2_centiles",-0.00435549721808413,0.587789173733779,0.00803496686565306,"caudalmiddlefrontal",0.638901275797586,"L"
"smri_vol_cdk_cdmdfrrh.t2_centiles",0.00405703519735897,0.617569269454743,0.00812510829741191,"caudalmiddlefrontal",0.664052977908326,"R"
"smri_vol_cdk_cuneuslh.t2_centiles",-0.0396407936727503,6.71958860216064e-06,0.00879765589842621,"cuneus",3.95269917774155e-05,"L"
"smri_vol_cdk_cuneusrh.t2_centiles",-0.0342711505241354,7.44696940786535e-05,0.00864577570801071,"cuneus",0.000323781278602841,"R"
"smri_vol_cdk_ehinallh.t2_centiles",0.0179928012591847,0.0445569386182545,0.00895530548760704,"entorhinal",0.0789872756382216,"L"
"smri_vol_cdk_ehinalrh.t2_centiles",-0.00277347691561501,0.758519311884772,0.00902125898322844,"entorhinal",0.790124283213304,"R"
"smri_vol_cdk_frpolelh.t2_centiles",-0.0112711801120317,0.199931374283495,0.0087927693961976,"frontalpole",0.273878594908897,"L"
"smri_vol_cdk_frpolerh.t2_centiles",-0.0253637641036654,0.0038476632555084,0.00877225235815956,"frontalpole",0.010125429619759,"R"
"smri_vol_cdk_fusiformlh.t2_centiles",-0.0104298470693209,0.161184370382081,0.00744325060383825,"fusiform",0.234984107404509,"L"
"smri_vol_cdk_fusiformrh.t2_centiles",-0.00699969296125888,0.3373824551542,0.00729578215652372,"fusiform",0.416521549573086,"R"
"smri_vol_cdk_ifpllh.t2_centiles",0.0525949196566077,5.767027078338e-11,0.00801748286047943,"inferiorparietal",1.4417567695845e-09,"L"
"smri_vol_cdk_ifplrh.t2_centiles",0.0365107755311858,1.75412957423115e-06,0.00763189036506325,"inferiorparietal",1.1694197161541e-05,"R"
