"","ga_beta","ga_p","ga_se","label","ga_p_adj","hemisphere"
"smri_vol_cdk_banksstslh.t1_centiles",0.026690712302531,0.00244463577700277,0.00880639169379787,"bankssts",0.00814878592334258,"L"
"smri_vol_cdk_banksstsrh.t1_centiles",0.0400812066353355,2.39664690407126e-06,0.00849304055399732,"bankssts",1.84357454159328e-05,"R"
"smri_vol_cdk_cdacatelh.t1_centiles",-0.0138866969202409,0.120841075901732,0.00895120873220054,"caudalanteriorcingulate",0.212001887546899,"L"
"smri_vol_cdk_cdacaterh.t1_centiles",-0.00977882220890407,0.27799698542724,0.00901369268799726,"caudalanteriorcingulate",0.364179198915036,"R"
"smri_vol_cdk_cdmdfrlh.t1_centiles",0.0136838730963278,0.09885502897424,0.00829037280220642,"caudalmiddlefrontal",0.183064868470815,"L"
"smri_vol_cdk_cdmdfrrh.t1_centiles",0.0109817364758837,0.187913502574884,0.00833932870213178,"caudalmiddlefrontal",0.284717428143763,"R"
"smri_vol_cdk_cuneuslh.t1_centiles",-0.0165096371461572,0.0655358060356745,0.00896398197096266,"cuneus",0.133427427109366,"L"
"smri_vol_cdk_cuneusrh.t1_centiles",-0.0219938073366058,0.0126609119431755,0.00882014171573133,"cuneus",0.0316522798579388,"R"
"smri_vol_cdk_ehinallh.t1_centiles",-0.0216753714755882,0.0169893595953659,0.00907940301913806,"entorhinal",0.0414374624277218,"L"
"smri_vol_cdk_ehinalrh.t1_centiles",-0.0327430563449195,0.000410860956471492,0.00926483122818364,"entorhinal",0.00184368098919498,"R"
"smri_vol_cdk_frpolelh.t1_centiles",-0.0124458728530647,0.167762464167508,0.00902186698646505,"frontalpole",0.266289625662712,"L"
"smri_vol_cdk_frpolerh.t1_centiles",-0.0160960028092666,0.0775367659398467,0.00911783920606232,"frontalpole",0.152032874391856,"R"
"smri_vol_cdk_fusiformlh.t1_centiles",0.00364398983091775,0.631923010973734,0.00760692672783523,"fusiform",0.686828477776395,"L"
"smri_vol_cdk_fusiformrh.t1_centiles",0.00884468223057097,0.234481345097065,0.0074389992550558,"fusiform",0.334973350138665,"R"
"smri_vol_cdk_ifpllh.t1_centiles",0.046074911958021,1.64173884282405e-08,0.00815427012219571,"inferiorparietal",3.2834776856481e-07,"L"
"smri_vol_cdk_ifplrh.t1_centiles",0.0360237968159465,4.75490900727894e-06,0.0078694574446463,"inferiorparietal",3.39636357662781e-05,"R"
"smri_vol_cdk_iftmlh.t1_centiles",-0.0071537185222335,0.34533613712869,0.00758037190765306,"inferiortemporal",0.431670171410863,"L"
"smri_vol_cdk_iftmrh.t1_centiles",-0.022554558923114,0.0028583818918508,0.00756036663578807,"inferiortemporal",0.00868390160461033,"R"
"smri_vol_cdk_ihcatelh.t1_centiles",0.0124607084176352,0.128219334015697,0.00819093955429512,"isthmuscingulate",0.217320905111351,"L"
"smri_vol_cdk_ihcaterh.t1_centiles",0.0449052555762253,1.02120591436767e-07,0.00843042846016497,"isthmuscingulate",1.45886559195381e-06,"R"
"smri_vol_cdk_insulalh.t1_centiles",0.0359840502473715,1.64191479057593e-06,0.0075031922889619,"insula",1.40009995407022e-05,"L"
"smri_vol_cdk_insularh.t1_centiles",0.0275682421453787,0.000365577481519633,0.00773323147133038,"insula",0.00174084515009349,"R"
"smri_vol_cdk_linguallh.t1_centiles",0.00509613812085179,0.548916119624357,0.00850200646583647,"lingual",0.630938068533744,"L"
"smri_vol_cdk_lingualrh.t1_centiles",-0.00441055835989488,0.599844800624827,0.00840683815690348,"lingual",0.666494222916474,"R"
"smri_vol_cdk_lobfrlh.t1_centiles",0.0143179258569433,0.0381627979058413,0.00690566601365758,"lateralorbitofrontal",0.0867336316041849,"L"
"smri_vol_cdk_lobfrrh.t1_centiles",0.0247629824306842,0.000442483437406795,0.00704603814462726,"lateralorbitofrontal",0.00184368098919498,"R"
"smri_vol_cdk_locclh.t1_centiles",-0.033843397281208,2.57308194378952e-05,0.00803855040503116,"lateraloccipital",0.000151357761399384,"L"
"smri_vol_cdk_loccrh.t1_centiles",-0.0394563685802031,7.0705648292737e-07,0.00795108171955939,"lateraloccipital",7.0705648292737e-06,"R"
"smri_vol_cdk_mdtmlh.t1_centiles",0.0502168487010581,1.86290637454973e-11,0.00746869625521922,"middletemporal",6.20968791516576e-10,"L"
"smri_vol_cdk_mdtmrh.t1_centiles",0.0580743672897121,1.27876011457948e-16,0.00700617570330155,"middletemporal",1.27876011457948e-14,"R"
"smri_vol_cdk_mobfrlh.t1_centiles",-0.00902022587608577,0.253479093771998,0.00789861257596517,"medialorbitofrontal",0.352054296905553,"L"
"smri_vol_cdk_mobfrrh.t1_centiles",-0.00819634253908543,0.279623304361725,0.007580636647753,"medialorbitofrontal",0.364179198915036,"R"
"smri_vol_cdk_paracnlh.t1_centiles",0.00147804305410239,0.857781728515118,0.00824787114993643,"paracentral",0.875287478076651,"L"
"smri_vol_cdk_paracnrh.t1_centiles",0.00518346584819857,0.536506037426704,0.00838578708735191,"paracentral",0.623844229565935,"R"
"smri_vol_cdk_parahpallh.t1_centiles",-0.0284294980425658,0.00147182574589916,0.00893725517499171,"parahippocampal",0.0056608682534583,"L"
"smri_vol_cdk_parahpalrh.t1_centiles",0.00557535766171492,0.533066720848283,0.00894415989037403,"parahippocampal",0.623844229565935,"R"
"smri_vol_cdk_parsobislh.t1_centiles",0.0155065110066882,0.0644543737171914,0.00838545506877424,"parsorbitalis",0.133427427109366,"L"
"smri_vol_cdk_parsobisrh.t1_centiles",0.0185653475122706,0.0284988442763045,0.00847482107510591,"parsorbitalis",0.0678543911340584,"R"
"smri_vol_cdk_parsopclh.t1_centiles",0.0135039755808193,0.11960173048168,0.00867545713449323,"parsopercularis",0.212001887546899,"L"
"smri_vol_cdk_parsopcrh.t1_centiles",0.00934460322239025,0.280417983164578,0.00865693452739894,"parsopercularis",0.364179198915036,"R"
"smri_vol_cdk_parstgrislh.t1_centiles",0.0393938966137779,1.09057975340776e-05,0.00895217227118294,"parstriangularis",7.27053168938506e-05,"L"
"smri_vol_cdk_parstgrisrh.t1_centiles",0.0460362923153315,3.05026409219369e-07,0.00898517994197114,"parstriangularis",3.38918232465966e-06,"R"
"smri_vol_cdk_pclh.t1_centiles",0.00408376337835987,0.574664446773171,0.00727667896869196,"precuneus",0.653027780424059,"L"
"smri_vol_cdk_pcrh.t1_centiles",-0.00524952500624256,0.459937715664164,0.00710378115901142,"precuneus",0.547544899600195,"R"
"smri_vol_cdk_pericclh.t1_centiles",-0.028626042795867,0.00158972170450308,0.0090628960368156,"pericalcarine",0.00588785816482623,"L"
"smri_vol_cdk_periccrh.t1_centiles",-0.0303749259784236,0.00072762671392864,0.00898683701424839,"pericalcarine",0.00291050685571456,"R"
"smri_vol_cdk_postcnlh.t1_centiles",0.0210703805862005,0.00462138464604016,0.007437734850748,"postcentral",0.0130052220526343,"L"
"smri_vol_cdk_postcnrh.t1_centiles",0.0153797826043063,0.0410129879814241,0.00752565735964528,"postcentral",0.0911399732920535,"R"
"smri_vol_cdk_precnlh.t1_centiles",0.000568245985301954,0.938905975042845,0.0074138266552773,"precentral",0.938905975042845,"L"
"smri_vol_cdk_ptcatelh.t1_centiles",0.007143050187699,0.378491005176939,0.00811049704430452,"posteriorcingulate",0.461574396557243,"L"
"smri_vol_cdk_ptcaterh.t1_centiles",0.0105489732340322,0.195844727401323,0.00815498041654909,"posteriorcingulate",0.292305563285557,"R"
"smri_vol_cdk_rracatelh.t1_centiles",0.0216176238488073,0.00735158545959609,0.00806327607113432,"rostralanteriorcingulate",0.0193462775252529,"L"
"smri_vol_cdk_rracaterh.t1_centiles",0.0235004171434153,0.0065959655877954,0.00864902891295083,"rostralanteriorcingulate",0.0178269340210686,"R"
"smri_vol_cdk_rrmdfrlh.t1_centiles",-0.0028998031109478,0.696560026403165,0.00743579735502473,"rostralmiddlefrontal",0.733221080424384,"L"
"smri_vol_cdk_rrmdfrrh.t1_centiles",0.0118669157776185,0.126824940203465,0.00777209411307554,"rostralmiddlefrontal",0.217320905111351,"R"
"smri_vol_cdk_smlh.t1_centiles",0.0119674213011413,0.139796809370475,0.00810439552409735,"supramarginal",0.232994682284126,"L"
"smri_vol_cdk_smrh.t1_centiles",0.0281897342168695,0.000428762233811313,0.00800203104468315,"supramarginal",0.00184368098919498,"R"
"smri_vol_cdk_sufrlh.t1_centiles",0.00770937220012941,0.260182457341598,0.00684656899443303,"superiorfrontal",0.356414325125477,"L"
"smri_vol_cdk_sufrrh.t1_centiles",0.00519998939074451,0.458546552926107,0.00701498124735772,"superiorfrontal",0.547544899600195,"R"
"smri_vol_cdk_supllh.t1_centiles",0.0151606419892872,0.0516539376419682,0.00778976887016992,"superiorparietal",0.109901994982911,"L"
"smri_vol_cdk_suplrh.t1_centiles",0.020189559095911,0.00931409165175079,0.00776289256096433,"superiorparietal",0.0238822862865405,"R"
"smri_vol_cdk_sutmlh.t1_centiles",-0.0127535106518434,0.0863976650943499,0.00743700305633537,"superiortemporal",0.16301446244217,"L"
"smri_vol_cdk_sutmrh.t1_centiles",-0.0151527855822309,0.0355151968732111,0.00720634059389262,"superiortemporal",0.0825934811004908,"R"
"smri_vol_cdk_tmpolelh.t1_centiles",-0.0258878424460345,0.00404623755091734,0.00900397177254049,"temporalpole",0.0119006986791686,"L"
"smri_vol_cdk_tmpolerh.t1_centiles",-0.0355928198093608,7.88792512770286e-05,0.00901240569922094,"temporalpole",0.000415153954089624,"R"
"smri_vol_cdk_trvtmlh.t1_centiles",-0.0039750004015461,0.647644656287558,0.00869708652866441,"transversetemporal",0.688983676901658,"L"
"smri_vol_cdk_trvtmrh.t1_centiles",0.0265457233924259,0.00186605932395689,0.008531380491127,"transversetemporal",0.00643468732398929,"R"
"smri_vol_scs_3rdventricle.t1_centiles",-0.0293563183712824,0.00184729753073467,0.00942561932002833,"x3rd-ventricle",0.00643468732398929,NA
"smri_vol_scs_4thventricle.t1_centiles",-0.0506371588693759,1.70133507479695e-07,0.00967688567928543,"x4th-ventricle",2.12666884349619e-06,NA
"smri_vol_scs_aal.t1_centiles",0.0106807158883675,0.185093402919891,0.00805897130299052,"Left-Accumbens-Area",0.284717428143763,NA
"smri_vol_scs_aar.t1_centiles",-0.0111139171848324,0.172058373250819,0.00813782327495184,"Right-Accumbens-Area",0.268841208204404,NA
"smri_vol_scs_amygdalalh.t1_centiles",0.00384215425420933,0.638750484332047,0.00818420002215794,"Left-Amygdala",0.686828477776395,NA
"smri_vol_scs_amygdalarh.t1_centiles",-0.021870936594724,0.00468187993894836,0.00773168916144797,"Right-Amygdala",0.0130052220526343,NA
